customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C-a8a0ead2,Female,0,No,Yes,71,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No,No internet service,One year,Yes,Credit card (automatic),56.56,4046.48,No
C-1fadbcda,Male,0,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),45.92,378.91,No
C-63fc3abe,Male,0,No,Yes,52,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),53.07,2786.73,No
C-4478439d,Male,0,No,No,53,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,51.53,2707.99,No
C-63f016c8,Male,0,No,No,42,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),43.16,1805.15,No
C-ac6ec600,Female,1,No,Yes,21,Yes,No,DSL,No,No,Yes,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),36.15,738.57,Yes
C-05ceb7b7,Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),45.79,2727.49,No
C-1ed739f3,Female,0,No,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,21.52,1345.58,No
C-29e82ca7,Male,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,57.39,206.07,Yes
C-124dd07e,Male,1,Yes,No,0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,54.4,13.0,Yes
C-156739d4,Male,0,No,No,68,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.84,1623.44,Yes
C-59272b6f,Male,0,Yes,No,45,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),46.64,2111.09,No
C-bc202a72,Female,1,No,No,49,Yes,No phone service,DSL,No,No,Yes,No,No,No,Two year,Yes,Mailed check,33.46,1627.44,No
C-4e14b4b1,Male,0,Yes,No,15,No,No phone service,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,45.23,674.19,Yes
C-c42ca9a3,Male,0,Yes,Yes,68,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.84,1641.5,No
C-bffec24f,Male,0,Yes,Yes,26,Yes,No,Fiber optic,No,Yes,No,No internet service,No,Yes,Two year,Yes,Electronic check,53.0,1385.84,No
C-853f9675,Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,63.66,2487.46,Yes
C-b2331741,Female,0,No,No,64,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),36.94,2348.95,No
C-91feb377,Male,0,No,Yes,30,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,46.64,1418.18,No
C-5df3453c,Male,0,No,No,61,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,No internet service,One year,Yes,Electronic check,58.72,3571.8,No
C-a608554b,Male,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.23,1186.94,No
C-8b6ff0b3,Male,0,Yes,Yes,59,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),67.98,4045.24,Yes
C-5f8728c9,Female,0,No,No,59,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,57.81,3399.37,No
C-7740c692,Female,1,Yes,Yes,41,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,No,Electronic check,38.77,1599.65,No
C-f3572281,Male,0,No,No,11,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,42.83,472.17,Yes
C-29748c9a,Male,0,No,Yes,63,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,41.15,2581.4,No
C-f3f04e09,Female,0,No,Yes,65,Yes,No,Fiber optic,Yes,No internet service,No,No,No,Yes,One year,Yes,Credit card (automatic),48.59,3149.62,No
C-607ead66,Female,0,No,No,59,Yes,No,DSL,No,No internet service,No,No,Yes,No,Month-to-month,No,Electronic check,33.73,1991.89,No
C-4c8c2c09,Male,0,No,No,45,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,31.98,1424.03,No
C-95ece017,Female,0,Yes,No,52,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,40.81,2103.23,No
C-9d350c87,Female,0,No,Yes,41,Yes,No,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),50.12,2007.57,Yes
C-dd45588c,Female,1,Yes,No,68,Yes,Yes,DSL,No,No,No,No,No internet service,Yes,One year,Yes,Mailed check,31.26,2128.81,No
C-7aecdbce,Female,0,No,No,5,Yes,Yes,DSL,No,No,No internet service,No internet service,No,Yes,One year,No,Bank transfer (automatic),37.47,161.48,Yes
C-aadda276,Male,0,Yes,Yes,11,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,44.95,467.24,Yes
C-f2b0ccc7,Male,0,Yes,No,43,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),36.81,1560.31,No
C-e949ba2d,Female,0,No,No,24,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No,One year,Yes,Electronic check,44.78,1084.93,No
C-b6c31600,Female,0,No,Yes,49,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),54.23,2662.57,Yes
C-9ad16720,Female,0,No,No,7,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,48.58,321.91,Yes
C-8c4b56fb,Female,0,No,No,23,Yes,No phone service,DSL,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,37.39,872.63,Yes
