customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C-2c744126,Female,0,No,Yes,18,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),53.21,958.61,Yes
C-bd739977,Female,1,Yes,No,22,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,47.03,1043.02,Yes
C-0b16077d,Female,0,No,No,59,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.83,1606.51,No
C-b01f98a5,Female,0,No,No,12,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),27.39,300.51,Yes
C-8edfc584,Male,0,No,No,17,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),38.12,675.77,No
C-b1d78249,Female,0,Yes,Yes,36,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),67.68,2448.57,No
C-77ed6ce4,Female,0,Yes,No,29,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,62.27,1821.65,No
C-eaf3e17b,Female,1,No,Yes,20,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,Yes,Two year,Yes,Electronic check,70.26,1441.81,No
C-f5e446b6,Female,0,No,Yes,51,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,Yes,Two year,Yes,Mailed check,61.14,3118.52,No
C-8b7aab46,Female,0,No,No,22,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),46.08,1038.36,No
C-6592af06,Male,0,No,No,68,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,60.7,4100.04,No
C-5344c7b6,Female,0,Yes,Yes,34,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,35.14,1200.9,No
C-524bf4d9,Female,0,Yes,No,31,Yes,No,DSL,No,No,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),43.67,1353.38,No
C-0b7d9854,Male,0,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,56.54,3493.16,No
C-7f582459,Female,0,Yes,No,21,No,No phone service,Fiber optic,No,Yes,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),50.57,1087.97,No
C-53f5568e,Female,0,No,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,25.43,1438.99,No
C-59deee28,Male,0,Yes,Yes,12,Yes,Yes,Fiber optic,Yes,No internet service,No,No,No,No,One year,No,Bank transfer (automatic),57.29,650.73,No
C-34665d11,Male,1,No,No,24,No,No phone service,DSL,Yes,No,Yes,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),51.69,1232.83,No
C-4134f009,Male,0,No,Yes,32,Yes,No,DSL,No internet service,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),41.12,1308.73,No
C-74ae4086,Female,0,Yes,No,13,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,56.76,728.6,Yes
C-d843e2ee,Male,0,Yes,No,33,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),40.66,1320.14,Yes
C-c275bc74,Female,0,No,Yes,23,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),68.0,1558.06,Yes
C-a87a4fb3,Male,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),52.96,2083.45,No
C-687bdb7d,Male,0,Yes,No,17,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),37.59,629.53,Yes
C-5b108d97,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,57.07,615.86,Yes
C-a3af3e7b,Male,0,No,Yes,6,No,No phone service,Fiber optic,No internet service,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),60.64,358.21,No
C-b0177b55,Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.2,657.89,Yes
C-a18e9dfb,Male,0,No,Yes,7,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,62.44,418.36,No
C-28aca2d0,Female,0,Yes,No,60,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),61.17,3706.78,Yes
C-eac17d13,Male,0,Yes,Yes,57,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),39.46,2254.88,No
C-5394823a,Female,0,Yes,No,5,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.26,144.17,No
C-93777622,Male,0,Yes,No,53,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),65.8,3474.37,Yes
C-e30b8346,Female,0,No,Yes,41,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),41.38,1687.12,Yes
C-b44c134e,Female,0,No,No,16,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,One year,Yes,Electronic check,63.13,1034.6,Yes
C-87f00f83,Female,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.58,462.39,No
C-f28e5a1b,Male,0,No,Yes,34,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),59.07,1976.36,Yes
C-781d796d,Female,0,No,No,55,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,51.07,2837.75,No
C-8cfaa19a,Female,0,No,No,9,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),71.56,654.66,No
